x;y;v,ω;ωL;ωP;ωLset;ωPset;xset;yset
110.396;19.0851;0.876917;-0.966444;4.98285;-5.48339;5.04942;-5.53547;100;100
110.722;19.4277;0.877134;-0.970042;4.98404;-5.50492;5.03416;-5.56014;100;100
111.076;19.8257;0.877695;-0.972511;4.98597;-5.52185;5.02541;-5.57439;100;100
112.432;21.4992;0.641892;-1.30145;3.1136;-8.13388;1.98371;-9.78728;100;100
114.926;24.7668;0.702287;-1.21847;3.86627;-7.09379;3.47159;-7.70726;100;100
116.321;26.7465;0.778663;-1.11318;4.35071;-6.42544;4.39133;-6.41993;100;100
117.252;28.1763;0.822234;-1.0533;4.59518;-6.08992;4.82164;-5.81707;100;100
117.888;29.2337;0.843969;-1.02392;4.76469;-5.85884;5.0402;-5.51065;100;100
118.341;30.0546;0.859853;-1.00266;4.8687;-5.719;5.13874;-5.37244;100;100
120.588;34.5261;0.635225;-1.29948;3.29151;-7.80312;2.71485;-8.57279;100;100
122.053;37.7278;0.71704;-1.19139;3.95136;-6.93131;3.93321;-6.96111;100;100
122.945;39.8888;0.78822;-1.09731;4.40478;-6.33205;4.70478;-5.93976;100;100
124.72;44.7581;0.507835;-1.455;2.66247;-8.55357;1.86104;-9.56782;100;100
126.115;49.0311;0.681105;-1.23231;3.59613;-7.35356;3.75825;-7.13344;100;100
127.567;54.227;0.427978;-1.54786;2.03497;-9.29573;0.995702;-10.5784;100;100
128.939;59.8557;0.591723;-1.34093;3.14519;-7.89303;3.22364;-7.77192;100;100
130.4;67.147;0.421904;-1.54905;2.00553;-9.29053;1.48797;-9.90382;100;100
131.619;74.8084;0.293358;-1.7049;0.327064;-11.341;-0.675665;-12.546;100;100
132.65;83.3204;-0.120751;-2.21122;-0.303898;-12.0941;-1.75264;-13.844;100;100
133.416;92.5723;0.412864;-1.55331;2.04218;-9.20093;2.22763;-8.94155;100;100
133.646;97.7515;0.635301;-1.27863;3.32252;-7.61971;4.45778;-6.19465;100;100
133.672;100.821;3.68527;-4.10102;15.8985;-18.4904;26.3469;-25.9742;100;100
133.437;103.536;2.99813;-3.54046;16.7059;-19.6989;25.6452;-26.839;100;100
132.705;106.863;3.16028;-3.78787;17.6918;-21.1607;25.0619;-27.5601;100;100
131.433;110.302;3.3091;-4.01692;18.5825;-22.5143;24.5841;-28.1557;100;100
129.492;113.893;3.42715;-4.19461;19.2864;-23.5671;24.2751;-28.5464;100;100
127.026;117.216;3.52939;-4.34504;19.8904;-24.465;24.0536;-28.8337;100;100
123.736;120.491;3.62145;-4.46798;20.4301;-25.2045;23.9337;-28.9982;100;100
119.869;123.279;3.70426;-4.56798;20.9171;-25.8052;23.8893;-29.0692;100;100
115.569;125.438;3.77908;-4.64909;21.3551;-26.2933;23.8953;-29.0817;100;100
110.559;126.965;3.8509;-4.71967;21.778;-26.7182;23.9348;-29.051;100;100
105.77;127.557;3.91051;-4.77122;22.1281;-27.0295;23.995;-28.9938;100;100
100.94;127.335;3.96831;-4.81521;22.4667;-27.2965;24.0731;-28.9153;100;100
96.2994;126.294;4.01688;-4.84599;22.7449;-27.4906;24.1522;-28.8335;100;100
91.9934;124.508;4.06159;-4.87412;23.0116;-27.657;24.229;-28.7536;100;100
88.3916;122.234;4.09847;-4.89412;23.23;-27.7768;24.2994;-28.6802;100;100
85.0757;119.234;4.13163;-4.90944;23.4249;-27.8702;24.3666;-28.6104;100;100
82.2598;115.539;4.16421;-4.92126;23.6161;-27.943;24.4409;-28.5329;100;100
80.3554;111.765;4.19405;-4.92855;23.7901;-27.9899;24.5178;-28.4512;100;100
79.1979;107.856;4.21836;-4.9335;23.9304;-28.0237;24.5776;-28.3904;100;100
78.7718;104.161;4.23792;-4.93697;24.0458;-28.0451;24.6275;-28.3395;100;100
79.0497;99.9609;4.25964;-4.93842;24.1725;-28.0562;24.6888;-28.2771;100;100
80;96.3081;4.27983;-4.93762;24.2873;-28.0571;24.7493;-28.2149;100;100
81.5406;92.9864;4.29644;-4.93634;24.3827;-28.0524;24.8005;-28.1632;100;100
83.5999;90.0718;4.31184;-4.93391;24.4728;-28.0397;24.8507;-28.1123;100;100
86.0643;87.6537;4.32635;-4.93135;24.5603;-28.023;24.8987;-28.0639;100;100
89.0302;85.6755;4.34007;-4.92775;24.6404;-28.003;24.9448;-28.018;100;100
92.0274;84.4046;4.35283;-4.9228;24.7111;-27.9789;24.9934;-27.9687;100;100
95.0934;83.7135;4.36418;-4.91813;24.777;-27.9527;25.0372;-27.9245;100;100
98.1838;83.5854;4.37511;-4.91335;24.8425;-27.9237;25.0796;-27.8818;100;100
100.988;83.9688;4.38483;-4.90845;24.899;-27.8959;25.118;-27.8435;100;100
103.777;84.878;4.39397;-4.90338;24.9527;-27.8665;25.1549;-27.8063;100;100
106.271;86.2267;4.4038;-4.89731;25.0083;-27.8331;25.1977;-27.7631;100;100
108.408;87.9516;4.41222;-4.89186;25.0571;-27.8021;25.2347;-27.7265;100;100
110.168;90.0071;4.42053;-4.88606;25.1035;-27.7707;25.2716;-27.6895;100;100
111.404;92.1131;4.42797;-4.88078;25.1467;-27.7403;25.3046;-27.6567;100;100
112.27;94.466;4.4355;-4.87508;25.1881;-27.7095;25.3395;-27.6214;100;100
112.686;96.85;4.44254;-4.86959;25.2285;-27.6784;25.3724;-27.5885;100;100
112.668;99.2276;4.44949;-4.86406;25.2704;-27.6451;25.4047;-27.5562;100;100
112.195;101.522;6.65598;-7.11691;37.0252;-39.5337;46.2289;-48.7508;100;100
111.103;103.754;6.82761;-7.33797;38.4716;-41.3048;46.0576;-49.1405;100;100
109.175;105.941;7.01431;-7.54632;39.5631;-42.5658;46.0307;-49.3115;100;100
106.665;107.542;7.19516;-7.72267;40.6248;-43.6351;46.1066;-49.3058;100;100
103.875;108.335;7.34515;-7.84919;41.4981;-44.4112;46.235;-49.1936;100;100
100.886;108.248;7.48497;-7.95993;42.33;-45.0736;46.3804;-49.0273;100;100
98.5862;107.45;7.59941;-8.03819;43.0062;-45.5478;46.5228;-48.8385;100;100
96.7467;106.137;7.69181;-8.09556;43.5453;-45.905;46.639;-48.6727;100;100
95.4151;104.404;7.77829;-8.14863;44.0557;-46.2268;46.7421;-48.5167;100;100
94.7212;102.478;7.85735;-8.19751;44.5322;-46.5081;46.8272;-48.3836;100;100
94.6877;100.494;7.92489;-8.2375;44.9354;-46.7432;46.8944;-48.2814;100;100
95.1637;98.9556;7.97989;-8.2661;45.2548;-46.9233;46.9543;-48.195;100;100
96.0645;97.6675;8.02644;-8.29137;45.5326;-47.072;47.003;-48.1292;100;100
97.2371;96.7939;8.06698;-8.31219;45.7726;-47.1965;47.0456;-48.075;100;100
98.6052;96.3587;8.10453;-8.33141;45.9952;-47.31;47.0834;-48.0309;100;100
99.8484;96.3907;8.13737;-8.34641;46.1884;-47.4014;47.1208;-47.9909;100;100
100.867;96.7494;8.1634;-8.3584;46.3423;-47.473;47.1509;-47.9644;100;100
101.673;97.3528;8.18611;-8.36822;46.477;-47.5312;47.1793;-47.9398;100;100
102.245;98.1642;8.20629;-8.37558;46.5962;-47.5762;47.2076;-47.9131;100;100
102.511;99.0537;8.2243;-8.38104;46.7002;-47.6118;47.234;-47.887;100;100
102.48;99.9203;8.24072;-8.386;46.7988;-47.6402;47.2583;-47.8613;100;100
102.204;100.625;10.505;-10.6525;58.9188;-59.7509;68.2547;-68.9108;100;100
101.622;101.225;10.7177;-10.8639;60.5373;-61.3743;68.3548;-69.06;100;100
100.874;101.521;10.919;-11.0556;61.732;-62.526;68.4356;-69.0925;100;100
100.129;101.483;11.1017;-11.2249;62.8225;-63.5424;68.4867;-69.0503;100;100
99.5414;101.17;11.2427;-11.35;63.6648;-64.2989;68.5026;-68.9512;100;100
99.1976;100.708;11.3604;-11.4541;64.3679;-64.9208;68.4879;-68.8412;100;100
99.0963;100.254;5.18383;-5.24051;25.652;-25.9662;0;0;100;100
99.1045;99.9677;3.80332;-3.84894;22.6104;-22.8816;0;0;100;100
99.1486;99.7286;3.24478;-3.28369;19.2913;-19.5226;0;0;100;100
99.2091;99.54;2.76818;-2.80139;16.4578;-16.6552;0;0;100;100
99.2821;99.3766;2.36159;-2.38992;14.0404;-14.2089;0;0;100;100
99.3555;99.247;2.01472;-2.03889;11.9782;-12.1219;0;0;100;100
99.4293;99.1385;1.7188;-1.73942;10.2188;-10.3414;0;0;100;100
99.4982;99.051;1.44706;-1.46442;8.60325;-8.70644;0;0;100;100
99.5572;98.9845;1.25097;-1.26597;7.43741;-7.52662;0;0;100;100
99.6135;98.9269;1.06723;-1.08003;6.34501;-6.42111;0;0;100;100
99.6636;98.88;0.898499;-0.909276;5.34187;-5.40594;0;0;100;100
99.7076;98.8417;0.766527;-0.775721;4.55725;-4.61192;0;0;100;100
99.7438;98.8121;0.662654;-0.670602;3.9397;-3.98695;0;0;100;100
99.7782;98.7854;0.565324;-0.572105;3.36103;-3.40135;0;0;100;100
99.8072;98.764;0.482289;-0.488074;2.86737;-2.90176;0;0;100;100
99.8322;98.7463;0.411451;-0.416386;2.44621;-2.47555;0;0;100;100
99.8541;98.7313;0.351017;-0.355227;2.08691;-2.11194;0;0;100;100
99.8727;98.7189;0.29946;-0.303052;1.78039;-1.80174;0;0;100;100
99.888;98.709;0.255475;-0.258539;1.51888;-1.5371;0;0;100;100
99.901;98.7008;0.217951;-0.220565;1.29579;-1.31133;0;0;100;100
99.9129;98.6934;0.185938;-0.188169;1.10546;-1.11872;0;0;100;100
99.923;98.6872;0.158628;-0.16053;0.943094;-0.954406;0;0;100;100
99.9313;98.6822;0.135329;-0.136952;0.804572;-0.814223;0;0;100;100
99.9384;98.678;0.11699;-0.118393;0.695544;-0.703887;0;0;100;100
99.9449;98.6741;0.098494;-0.0996754;0.585579;-0.592603;0;0;100;100
99.9508;98.6707;0.0829222;-0.0839169;0.493;-0.498913;0;0;100;100
99.9554;98.668;0.0707426;-0.0715912;0.420588;-0.425633;0;0;100;100
99.9594;98.6657;0.0595583;-0.0602727;0.354093;-0.358341;0;0;100;100
99.9628;98.6638;0.0501422;-0.0507437;0.298112;-0.301688;0;0;100;100
99.9655;98.6623;0.0433474;-0.0438673;0.257714;-0.260806;0;0;100;100
99.968;98.6608;0.0364942;-0.036932;0.21697;-0.219572;0;0;100;100
99.97;98.6598;0.0311339;-0.0315074;0.185101;-0.187322;0;0;100;100
99.9717;98.6588;0.026561;-0.0268796;0.157914;-0.159808;0;0;100;100
99.9732;98.658;0.0226597;-0.0229315;0.134719;-0.136335;0;0;100;100
99.9745;98.6572;0.0193315;-0.0195634;0.114932;-0.11631;0;0;100;100
99.9757;98.6566;0.0162752;-0.0164704;0.0967613;-0.097922;0;0;100;100
99.9766;98.656;0.0137021;-0.0138665;0.0814635;-0.0824406;0;0;100;100
99.9774;98.6556;0.0115358;-0.0116742;0.0685842;-0.0694068;0;0;100;100
99.978;98.6553;0.00997258;-0.0100922;0.0592903;-0.0600014;0;0;100;100
99.9785;98.6549;0.00839593;-0.00849664;0.0499165;-0.0505153;0;0;100;100
99.979;98.6547;0.00716274;-0.00724865;0.0425848;-0.0430956;0;0;100;100
99.9794;98.6545;0.00603032;-0.00610265;0.0358522;-0.0362822;0;0;100;100
99.9798;98.6543;0.00521314;-0.00527567;0.0309938;-0.0313656;0;0;100;100
99.9801;98.6541;0.00438895;-0.00444159;0.0260937;-0.0264067;0;0;100;100
99.9803;98.654;0.00369506;-0.00373938;0.0219683;-0.0222319;0;0;100;100
99.9805;98.6539;0.00315233;-0.00319014;0.0187416;-0.0189664;0;0;100;100
99.9807;98.6538;0.00268932;-0.00272158;0.0159889;-0.0161807;0;0;100;100
99.9809;98.6537;0.00229431;-0.00232183;0.0136404;-0.013804;0;0;100;100
99.981;98.6536;0.00193158;-0.00195475;0.0114839;-0.0116216;0;0;100;100
99.9811;98.6535;0.00164787;-0.00166764;0.00979714;-0.00991466;0;0;100;100
99.9812;98.6534;0.00140583;-0.0014227;0.00835814;-0.0084584;0;0;100;100
99.9813;98.6534;0.00118357;-0.00119777;0.00703673;-0.00712113;0;0;100;100
99.9814;98.6534;0.00100973;-0.00102184;0.00600317;-0.00607518;0;0;100;100
99.9814;98.6534;0.0008729;-0.000883371;0.00518968;-0.00525193;0;0;100;100
99.9814;98.6534;0.000734896;-0.000743711;0.0043692;-0.0044216;0;0;100;100
99.9815;98.6534;0.000618709;-0.000626131;0.00367843;-0.00372255;0;0;100;100
99.9815;98.6534;0.000520892;-0.000527141;0.00309687;-0.00313402;0;0;100;100
99.9815;98.6534;0.000444384;-0.000449714;0.00264201;-0.0026737;0;0;100;100
99.9815;98.6534;0.000374127;-0.000378615;0.00222431;-0.00225099;0;0;100;100
99.9815;98.6534;0.000319175;-0.000323004;0.0018976;-0.00192036;0;0;100;100
99.9815;98.6534;0.000272295;-0.000275561;0.00161888;-0.0016383;0;0;100;100
99.9815;98.6534;0.0002323;-0.000235087;0.0013811;-0.00139767;0;0;100;100
99.9815;98.6534;0.00019818;-0.000200557;0.00117825;-0.00119238;0;0;100;100
99.9815;98.6534;0.000169072;-0.0001711;0.00100519;-0.00101724;0;0;100;100
99.9815;98.6534;0.000144238;-0.000145969;0.000857544;-0.00086783;0;0;100;100
99.9815;98.6534;0.000123053;-0.000124529;0.000731588;-0.000740364;0;0;100;100
99.9815;98.6534;0.000103598;-0.000104841;0.000615925;-0.000623313;0;0;100;100
99.9815;98.6534;8.83817e-05;-8.94419e-05;0.000525458;-0.000531761;0;0;100;100
99.9815;98.6534;7.44086e-05;-7.53012e-05;0.000442384;-0.00044769;0;0;100;100
99.9815;98.6534;6.34795e-05;-6.4241e-05;0.000377406;-0.000381934;0;0;100;100
99.9815;98.6534;5.41557e-05;-5.48053e-05;0.000321973;-0.000325835;0;0;100;100
99.9815;98.6534;4.6817e-05;-4.73786e-05;0.000278342;-0.000281681;0;0;100;100
99.9815;98.6534;3.94153e-05;-3.98881e-05;0.000234337;-0.000237148;0;0;100;100
99.9815;98.6534;3.3626e-05;-3.40293e-05;0.000199917;-0.000202315;0;0;100;100
99.9815;98.6534;2.8687e-05;-2.90311e-05;0.000170553;-0.000172599;0;0;100;100
99.9815;98.6534;2.44734e-05;-2.4767e-05;0.000145503;-0.000147248;0;0;100;100
99.9815;98.6534;2.08788e-05;-2.11292e-05;0.000124131;-0.00012562;0;0;100;100
99.9815;98.6534;1.75779e-05;-1.77887e-05;0.000104506;-0.00010576;0;0;100;100
99.9815;98.6534;1.4996e-05;-1.51759e-05;8.91564e-05;-9.02258e-05;0;0;100;100
99.9815;98.6534;1.27934e-05;-1.29469e-05;7.60611e-05;-7.69735e-05;0;0;100;100
99.9815;98.6534;1.07708e-05;-1.09e-05;6.40359e-05;-6.48041e-05;0;0;100;100
99.9815;98.6534;9.06795e-06;-9.17673e-06;5.39119e-05;-5.45586e-05;0;0;100;100
99.9815;98.6534;7.73606e-06;-7.82885e-06;4.59934e-05;-4.65451e-05;0;0;100;100
99.9815;98.6534;6.42734e-06;-6.50444e-06;3.82127e-05;-3.8671e-05;0;0;100;100
99.9815;98.6534;5.41119e-06;-5.47609e-06;3.21713e-05;-3.25572e-05;0;0;100;100
99.9815;98.6534;4.55569e-06;-4.61033e-06;2.7085e-05;-2.74099e-05;0;0;100;100
99.9815;98.6534;3.88655e-06;-3.93317e-06;2.31068e-05;-2.3384e-05;0;0;100;100
99.9815;98.6534;3.31569e-06;-3.35546e-06;1.97129e-05;-1.99493e-05;0;0;100;100
99.9815;98.6534;2.82869e-06;-2.86261e-06;1.68175e-05;-1.70192e-05;0;0;100;100
99.9815;98.6534;2.41321e-06;-2.44215e-06;1.43473e-05;-1.45194e-05;0;0;100;100
99.9815;98.6534;2.05876e-06;-2.08345e-06;1.224e-05;-1.23868e-05;0;0;100;100
99.9815;98.6534;1.75637e-06;-1.77743e-06;1.04422e-05;-1.05674e-05;0;0;100;100
99.9815;98.6534;1.49839e-06;-1.51636e-06;8.90843e-06;-9.01528e-06;0;0;100;100
99.9815;98.6534;1.27831e-06;-1.29364e-06;7.59996e-06;-7.69112e-06;0;0;100;100
99.9815;98.6534;1.09055e-06;-1.10363e-06;6.48368e-06;-6.56145e-06;0;0;100;100
99.9815;98.6534;9.30371e-07;-9.4153e-07;5.53136e-06;-5.59771e-06;0;0;100;100
99.9815;98.6534;7.83281e-07;-7.92676e-07;4.65686e-06;-4.71272e-06;0;0;100;100
99.9815;98.6534;6.68233e-07;-6.76248e-07;3.97286e-06;-4.02051e-06;0;0;100;100
99.9815;98.6534;5.70083e-07;-5.76921e-07;3.38933e-06;-3.42998e-06;0;0;100;100
99.9815;98.6534;4.79953e-07;-4.8571e-07;2.85348e-06;-2.88771e-06;0;0;100;100
99.9815;98.6534;4.14914e-07;-4.19891e-07;2.4668e-06;-2.49639e-06;0;0;100;100
99.9815;98.6534;3.53972e-07;-3.58218e-07;2.10448e-06;-2.12972e-06;0;0;100;100
99.9815;98.6534;2.98009e-07;-3.01584e-07;1.77176e-06;-1.79301e-06;0;0;100;100
99.9815;98.6534;2.57626e-07;-2.60716e-07;1.53167e-06;-1.55004e-06;0;0;100;100
99.9815;98.6534;2.19786e-07;-2.22422e-07;1.3067e-06;-1.32237e-06;0;0;100;100
99.9815;98.6534;1.87504e-07;-1.89753e-07;1.11477e-06;-1.12814e-06;0;0;100;100
99.9815;98.6534;1.59963e-07;-1.61882e-07;9.51033e-07;-9.6244e-07;0;0;100;100
